Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.836911,0.900728,0.693228,0.726222,0.63,4.17E-4,0.7125,0.07071
borg,0.75975,0.964706,0.859111,0.868294,-1.0,0.0,0.888222,0.065
datapro4j,0.446835,0.757,0.399776,0.411747,0.283682,0.0,0.482482,0.04844
ical4j,0.525313,0.803824,0.430894,0.689412,0.618253,0.001924,0.559412,0.06076
java2html,0.856353,0.973912,0.817529,0.840588,-1.0,0.0,0.691329,0.06686
jsapar,0.090392,0.687712,0.395459,-1.0,0.322741,9.53E-4,0.303824,0.06602
jxls,0.825706,0.934765,0.772765,0.728,-1.0,0.0,0.581706,0.11647
logisim,0.764857,1.0,0.908824,0.98625,-1.0,9.53E-4,0.987647,0.0657
marvin,0.653671,0.779382,0.393982,0.59494,0.4478,3.5E-5,0.461876,0.04636
nekohtml,0.434529,0.813941,0.493694,0.546717,0.204706,2.71E-4,0.287706,0.02096
