Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.084687,0.034594,0.06951,0.030979,0.04512,0.014217,0.05547,0.054252
borg,0.055609,0.043893,0.06215,0.003396,-1.0,0.00819,0.04112,0.022912
datapro4j,0.195798,0.058462,0.096444,0.204213,0.072655,0.016251,0.062944,0.061982
ical4j,0.049889,0.038764,0.057118,0.088711,0.045197,0.00104,0.070227,0.039469
java2html,0.065002,0.051235,0.081401,0.020377,-1.0,0.040365,0.088712,0.046413
jsapar,0.048338,0.057156,0.107537,-1.0,0.023659,0.01723,0.074429,0.05788
jxls,0.108387,0.035573,0.062557,0.023773,-1.0,0.007618,0.09756,0.03274
logisim,0.071336,0.029931,0.047371,0.00625,-1.0,0.007062,0.039707,0.025388
marvin,0.120466,0.066246,0.090335,0.118585,0.03632,0.003222,0.038505,0.079218
nekohtml,0.097379,0.05341,0.095344,0.03849,0.056819,0.006455,0.084253,0.056205
