Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.57772,0.862447,0.358133,0.729957,0.552347,0.0,0.348973,0.0763
borg,0.303253,0.51888,0.368733,0.388929,-1.0,0.0,0.422667,0.08061
datapro4j,0.827107,0.870667,0.51604,0.890933,0.902613,0.0,0.827667,0.04835
ical4j,0.360987,0.615413,0.32602,0.377867,0.352433,1.8E-4,0.340527,0.08285
java2html,0.44485,0.77156,0.50588,0.54,-1.0,0.0,0.4754,0.02878
jsapar,0.34318,0.799047,0.287107,0.504111,0.3972,2.4E-4,0.239867,0.0605
jxls,0.296487,0.409473,0.248533,0.279333,-1.0,0.0,0.248987,0.03273
logisim,0.415754,0.584947,0.426867,0.385125,-1.0,0.0,0.348,0.1315
marvin,0.769133,0.874267,0.571927,0.810573,0.825267,0.0,0.733267,0.0659
nekohtml,0.55052,0.83724,0.479047,0.433311,0.687293,0.0,0.423627,0.07813
