Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.072705,0.038185,0.096822,0.087782,0.039484,0.0,0.021513,0.07127
borg,0.076712,0.010514,0.028439,0.007825,-1.0,0.006575,0.007506,0.020418
datapro4j,0.072759,0.036927,0.082695,0.097612,0.040119,0.017519,0.045381,0.092118
ical4j,0.065555,0.031541,0.091871,0.061165,0.015767,0.003454,0.017444,0.060796
java2html,0.027907,0.029902,0.040603,0.0,-1.0,0.0,0.013578,0.090758
jsapar,0.068022,0.04783,0.131843,0.041976,0.025114,0.0,0.036228,0.050091
jxls,0.040628,0.017173,0.015281,0.018998,-1.0,0.007015,0.009668,0.029119
logisim,0.052687,0.013512,0.018845,0.0,-1.0,0.001721,0.003239,0.037032
marvin,0.083609,0.042925,0.086666,0.092555,0.059194,6.91E-4,0.061025,0.079448
nekohtml,0.0668,0.038641,0.091085,0.042944,0.047819,0.01206,0.0477,0.049885
