Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.888131,0.944503,0.81627,0.8,0.922443,0.0,0.85328,0.003
borg,0.94,0.996667,0.923333,1.0,-1.0,0.0,0.996667,0.1081
datapro4j,0.917633,0.952333,0.851033,0.716667,0.897833,0.0,0.934967,0.006
ical4j,0.831436,0.924307,0.8044,0.826667,0.9343,5.8E-4,0.909613,0.05432
java2html,1.0,1.0,0.973,1.0,-1.0,0.0,1.0,0.0325
jsapar,0.834232,0.917073,0.79948,0.652,0.80884,4.5E-4,0.770333,0.01594
jxls,0.9,0.9,0.882333,0.9,-1.0,0.0,0.9,0.05342
logisim,1.0,1.0,0.996667,1.0,-1.0,0.01358,1.0,0.12855
marvin,0.83284,0.963467,0.877167,-1.0,0.812333,4.0E-4,0.9379,0.0042
nekohtml,0.845267,0.9517,0.856267,0.8,0.813433,0.0,0.934133,0.0066
