Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.070511,0.086623,0.096585,0.0,0.067045,3.8E-4,0.125017,0.046135
borg,0.005082,0.0,0.004339,0.0,-1.0,0.005114,7.11E-4,0.018042
datapro4j,0.109064,0.044865,0.135046,0.0,0.058131,0.016505,0.065167,0.039136
ical4j,0.020401,0.065815,0.025814,0.0,0.067706,0.002222,0.063412,0.072878
java2html,0.0,0.0,0.010679,0.0,-1.0,0.002701,0.0,0.115566
jsapar,0.053001,0.060574,0.057687,0.0,0.030415,0.003036,0.012292,0.049505
jxls,0.0,0.0,0.003849,0.0,-1.0,0.004844,0.0,0.028931
logisim,0.0,0.0,0.0,0.0,-1.0,0.008017,0.0,0.022093
marvin,0.043603,0.016044,0.071684,-1.0,0.002182,0.001731,0.060416,0.07886
nekohtml,0.047438,0.053654,0.17784,0.0,0.009081,0.0,0.053346,0.024672
