Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.524167,0.905617,0.425083,0.45,0.372683,0.01115,0.6133,0.12087
borg,0.402143,0.898543,0.795433,-1.0,-1.0,0.017707,0.5528,0.15698
datapro4j,0.7417,0.964727,0.66105,0.892,0.521267,0.001033,0.938367,0.22527
ical4j,0.498264,0.882717,0.793637,0.691667,0.73639,0.01469,0.737173,0.21403
java2html,0.0,0.89205,0.0,0.0,-1.0,0.0,0.618833,0.05352
jsapar,0.472967,0.88129,0.44775,0.45,0.363333,0.007403,0.512067,0.08397
jxls,0.577333,0.831613,0.775487,0.458333,-1.0,4.3E-4,0.636,0.11858
logisim,0.678429,0.96594,0.938833,-1.0,-1.0,0.00994,0.876667,0.20062
marvin,0.65735,0.93362,0.614467,0.828,0.45535,0.011853,0.779227,0.11346
nekohtml,0.623817,0.920247,0.501183,0.601,0.4545,0.007933,0.78062,0.1282
