Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.65414,0.720253,0.640453,0.584687,0.383333,7.73E-4,0.428153,0.03591
borg,0.624587,0.84884,0.69206,0.71522,-1.0,0.00152,0.535333,0.05093
datapro4j,0.315387,0.6901,0.462207,0.672145,0.274247,0.00132,0.48636,0.11867
ical4j,0.58585,0.8888,0.644013,0.717567,0.496093,0.004107,0.694,0.07542
java2html,0.6353,0.76552,0.698933,0.72204,-1.0,0.00228,0.6095,0.03148
jsapar,0.04,0.75052,0.5835,-1.0,0.3932,0.001467,0.47852,0.03462
jxls,0.631473,0.77282,0.69824,0.685173,-1.0,0.001907,0.5788,0.06083
logisim,0.565707,0.75836,0.64624,0.620325,-1.0,0.00512,0.61888,0.06535
marvin,0.223793,0.644471,0.421857,0.439329,0.3033,6.93E-4,0.5216,0.02738
nekohtml,0.09,0.700457,0.61865,-1.0,0.279214,7.07E-4,0.446971,0.02319
