Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.106744,0.058348,0.097748,0.10802,0.0,0.008286,0.052237,0.063468
borg,0.074571,0.050389,0.056602,0.063575,-1.0,0.005821,0.065323,0.055221
datapro4j,0.067932,0.066916,0.073427,0.092379,0.018721,0.009347,0.050179,0.075207
ical4j,0.058323,0.048248,0.051876,0.082787,0.017121,0.001777,0.039771,0.039563
java2html,0.133046,0.070977,0.099954,0.107034,-1.0,0.024086,0.048653,0.056508
jsapar,0.0,0.060493,0.099114,-1.0,0.013849,0.014807,0.071491,0.060285
jxls,0.096886,0.057926,0.078319,0.080475,-1.0,0.011693,0.097114,0.059785
logisim,0.080822,0.054665,0.046631,0.067888,-1.0,0.01133,0.037733,0.060372
marvin,0.116762,0.073353,0.106027,0.051508,0.120261,0.015436,0.083225,0.065252
nekohtml,0.0,0.054171,0.093025,-1.0,0.042438,0.011572,0.088561,0.056127
