Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.244247,0.55704,0.206673,0.303492,0.140673,0.0,0.222133,0.04467
borg,0.182647,0.624453,0.255893,0.282445,-1.0,0.0,0.289333,0.11994
datapro4j,0.590067,0.80796,0.493513,0.767667,0.467107,0.0,0.789707,0.10097
ical4j,0.33042,0.54198,0.311273,0.421786,0.290247,0.0,0.300193,0.11489
java2html,0.161633,0.591613,0.263307,0.24191,-1.0,0.0,0.191667,0.06013
jsapar,0.138385,0.48838,0.149807,0.304267,0.079,0.0,0.187867,0.03255
jxls,0.26468,0.498773,0.238667,0.320371,-1.0,0.0,0.236,0.10053
logisim,0.3967,0.701047,0.508,0.54908,-1.0,0.0,0.575333,0.13212
marvin,0.517733,0.737267,0.515373,0.6268,0.42464,0.0,0.57048,0.04015
nekohtml,0.391127,0.639467,0.417767,0.487673,0.183333,1.6E-4,0.367673,0.04909
