Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.0,0.018483,0.04853,-1.0,0.041646,0.017003,0.031384,0.051854
borg,0.0,0.022323,0.060131,0.0,-1.0,0.011689,0.030729,0.043955
datapro4j,0.001721,0.010276,0.046409,0.049487,0.020199,0.009144,0.021581,0.045636
ical4j,0.040729,0.018138,0.037765,0.055685,0.018096,0.008948,0.012389,0.059635
java2html,0.0,0.042772,0.058612,0.0,-1.0,0.020163,0.049928,0.050109
jsapar,0.0,0.038875,0.056726,-1.0,0.019432,0.018889,0.049625,0.050743
jxls,0.037459,0.013651,0.040421,0.0,-1.0,0.01329,0.023735,0.051302
logisim,-1.0,0.018067,0.054502,-1.0,-1.0,0.008803,0.018894,0.053705
marvin,-1.0,0.037627,0.137732,-1.0,0.002811,0.00943,0.053459,0.054561
nekohtml,0.0,7.41E-4,0.058606,0.34641,0.011547,0.011583,0.021056,0.059968
