Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.090428,0.073371,0.148229,0.055414,0.088946,0.010318,0.094041,0.042382
borg,0.051313,0.038459,0.057064,0.036096,-1.0,0.010008,0.052948,0.022875
datapro4j,0.114878,0.081998,0.138182,0.078692,0.086127,0.01115,0.096392,0.066467
ical4j,0.097183,0.065872,0.096012,0.065689,0.080516,0.002795,0.061633,0.044844
java2html,0.092398,0.072716,0.080474,0.103214,-1.0,0.022004,0.085349,0.038174
jsapar,0.125093,0.06174,0.115862,0.082118,0.085187,0.010208,0.093593,0.045021
jxls,0.087238,0.050247,0.045734,0.08605,-1.0,0.008477,0.108869,0.044853
logisim,0.06205,0.033073,0.053262,0.052859,-1.0,0.004719,0.065421,0.041369
marvin,0.106879,0.072605,0.103,0.082139,0.040064,0.009217,0.089456,0.062071
nekohtml,0.119899,0.076951,0.143752,0.076773,0.114239,0.007181,0.082851,0.048213
