Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.499167,0.936107,0.408917,0.58005,0.583617,0.007833,0.800147,0.10432
borg,0.904967,0.949667,0.931,0.946667,-1.0,0.024724,0.960333,0.1311
datapro4j,0.621383,0.938367,0.55015,0.853133,0.345,8.17E-4,0.850873,0.03498
ical4j,0.714277,0.85688,0.592043,0.668667,0.762973,0.00119,0.74901,0.09369
java2html,0.0,0.987933,0.0,0.0,-1.0,0.0,0.8433,0.04802
jsapar,0.438,0.877787,0.40995,0.511383,0.351333,0.0057,0.5865,0.10892
jxls,1.0,1.0,1.0,1.0,-1.0,0.0,1.0,0.09482
logisim,1.0,1.0,1.0,0.996667,-1.0,0.0238,1.0,0.14362
marvin,0.596183,0.94808,0.561083,0.771467,0.446533,0.002773,0.726383,0.04768
nekohtml,0.564267,0.94343,0.404583,0.732717,0.565317,0.003767,0.697413,0.07822
