Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.075752,0.033641,0.248504,0.176065,0.028809,0.0,0.044889,0.04906
borg,0.0342,0.008826,0.007041,0.0,-1.0,0.006047,0.002709,0.038349
datapro4j,0.118315,0.06468,0.06879,0.107422,0.079082,0.018337,0.100319,0.048679
ical4j,0.068515,0.034267,0.073969,0.045583,0.036977,0.002876,0.050289,0.066928
java2html,0.008187,0.038171,0.018015,0.0,-1.0,0.003415,0.057222,0.04517
jsapar,0.262872,0.058125,0.085849,0.108733,0.021349,0.003787,0.004478,0.05512
jxls,0.005082,0.0,0.0,0.0,-1.0,0.00428,0.0,0.0475
logisim,0.008395,0.0,0.0,0.0,-1.0,0.003874,0.0,0.046328
marvin,0.087664,0.028374,0.062865,0.105081,0.015291,0.007943,0.049614,0.052195
nekohtml,0.085152,0.035044,0.092097,0.116449,0.028523,0.001472,0.139234,0.063143
