Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.1014,0.040382,0.07592,0.076489,0.115498,0.012219,0.056933,0.062457
borg,0.06231,0.034575,0.044007,0.076563,-1.0,0.008688,0.037181,0.051392
datapro4j,0.070047,0.031824,0.052061,0.067495,0.050512,0.013415,0.03953,0.077473
ical4j,0.041859,0.038167,0.07622,0.099376,0.018073,0.007225,0.024956,0.065772
java2html,0.099067,0.061317,0.054552,0.053936,-1.0,0.022615,0.070603,0.058876
jsapar,0.099248,0.045832,0.066472,0.069048,0.031658,0.015142,0.072863,0.062618
jxls,0.057499,0.032058,0.045282,0.060893,-1.0,0.011765,0.092423,0.058395
logisim,0.055273,0.03,0.058254,0.080568,-1.0,0.008823,0.030879,0.068021
marvin,0.103921,0.067113,0.076671,0.071522,0.079903,0.019993,0.106119,0.073849
nekohtml,0.087466,0.0301,0.073319,0.197523,0.0,0.013365,0.055376,0.068106
