Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.148589,0.071766,0.087527,0.085724,0.033118,0.003355,0.036942,0.039012
borg,0.128404,0.039883,0.042182,0.114864,-1.0,0.004558,0.032593,0.065584
datapro4j,0.153347,0.09804,0.059905,0.084037,0.031461,0.001095,0.034202,0.087432
ical4j,0.143258,0.074653,0.050616,0.085727,0.023618,0.005602,0.036643,0.043805
java2html,0.156915,0.08077,0.112659,0.106298,-1.0,7.9E-4,0.080307,0.061348
jsapar,0.140651,0.083965,0.078622,0.08088,0.03524,0.006511,0.038742,0.031542
jxls,0.115333,0.081746,0.079227,0.10678,-1.0,0.006439,0.034538,0.062221
logisim,0.166206,0.057969,0.065773,0.089244,-1.0,0.003824,0.030583,0.062446
marvin,0.155546,0.097662,0.068026,0.081566,0.049198,0.00124,0.053178,0.06818
nekohtml,0.167296,0.083218,0.070481,0.084237,0.03334,9.56E-4,0.04073,0.035757
