Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.144717,0.070854,0.10136,0.101532,0.052597,0.0,0.048426,0.090312
borg,0.072653,0.029425,0.029751,0.071391,-1.0,0.001617,0.014631,0.080532
datapro4j,0.107348,0.060159,0.084757,0.115608,0.063451,0.001143,0.055954,0.091468
ical4j,0.103977,0.064971,0.069912,0.087384,0.020419,0.0,0.026733,0.077403
java2html,0.069254,0.051555,0.0704,0.102442,-1.0,0.0,0.050501,0.093249
jsapar,0.13891,0.070805,0.091423,0.093364,0.027623,0.00252,0.025931,0.085022
jxls,0.077319,0.044092,0.046333,0.124208,-1.0,6.77E-4,0.023093,0.0825
logisim,0.142559,0.028778,0.064078,0.062424,-1.0,0.0,0.017314,0.091772
marvin,0.140249,0.070346,0.099761,0.095365,0.05534,0.001514,0.052766,0.09089
nekohtml,0.132176,0.063555,0.092074,0.082818,0.060443,0.006573,0.042672,0.079124
