Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.062532,0.058645,0.122462,0.009623,0.078444,0.002174,0.082911,0.074212
borg,0.018909,0.002927,0.009809,0.0,-1.0,0.004529,0.0,0.030362
datapro4j,0.097731,0.07707,0.132839,0.068482,0.072716,0.0,0.094458,0.050308
ical4j,0.053565,0.036208,0.067118,0.020505,0.034733,0.003241,0.045653,0.072644
java2html,0.065901,0.024899,0.066661,0.003982,-1.0,0.0,0.05727,0.054263
jsapar,0.114752,0.083695,0.150245,0.055918,0.064035,0.002224,0.056832,0.070293
jxls,0.0,0.0,0.001455,0.0,-1.0,8.12E-4,0.0,0.045918
logisim,0.001054,0.0,0.010848,0.0,-1.0,0.0,0.0,0.02902
marvin,0.061061,0.026701,0.097408,0.13402,0.021798,0.002203,0.074235,0.070176
nekohtml,0.070252,0.068239,0.172039,0.028961,0.037301,0.00123,0.085409,0.082826
