Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.361173,0.555987,0.459493,0.56568,0.24734,3.0E-4,0.390233,0.00562
borg,0.402287,0.705207,0.53556,0.730607,-1.0,0.0,0.430933,0.05166
datapro4j,0.319247,0.57762,0.380547,0.621853,0.323867,1.53E-4,0.436333,0.04016
ical4j,0.359513,0.659287,0.334467,0.56544,0.39798,7.73E-4,0.502693,0.06343
java2html,0.278327,0.643107,0.490107,0.63622,-1.0,0.0,0.366647,0.0075
jsapar,0.31564,0.513513,0.342533,0.494327,0.260153,5.3E-5,0.28144,0.00416
jxls,0.43212,0.642267,0.529833,0.669533,-1.0,8.8E-4,0.450293,0.03721
logisim,0.24174,0.608113,0.498007,0.673407,-1.0,0.0,0.527307,0.04817
marvin,0.300927,0.438527,0.298047,0.42974,0.20874,4.33E-4,0.248773,0.01137
nekohtml,0.3712,0.568133,0.333787,0.555673,0.33368,2.0E-5,0.33556,0.00399
