Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.077193,0.469853,0.23201,0.506933,0.34824,0.0,0.275803,0.00854
borg,0.11955,0.569513,0.235477,0.501727,-1.0,0.0,0.2961,0.09398
datapro4j,0.218583,0.698707,0.472217,0.751163,0.60265,2.93E-4,0.678477,0.02311
ical4j,0.0727,0.489037,0.24516,0.45454,0.26891,0.0,0.30327,0.05811
java2html,0.09302,0.50552,0.23345,0.402077,-1.0,0.0,0.13829,0.02237
jsapar,0.050173,0.396113,0.179373,0.405073,0.270423,0.0,0.203647,0.00435
jxls,0.188563,0.557007,0.316323,0.480937,-1.0,0.0,0.38086,0.05811
logisim,0.230707,0.55672,0.363393,0.448017,-1.0,0.0,0.436373,0.07405
marvin,0.227673,0.58229,0.38176,0.625393,0.496407,0.0,0.55067,0.001
nekohtml,0.173287,0.557513,0.364407,0.576443,0.394397,0.0,0.351417,0.00363
