Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.702333,0.782497,0.770313,0.757503,0.477833,9.0E-5,0.647647,0.01791
borg,0.6472,0.815433,0.769727,0.815967,-1.0,0.01007,0.6637,0.1026
datapro4j,0.8813,0.9168,0.821167,0.9156,0.858333,4.67E-4,0.875467,0.0409
ical4j,0.6975,0.7984,0.7367,0.679633,0.690067,0.00228,0.635767,0.12653
java2html,0.6784,0.7929,0.737467,0.776433,-1.0,-1.0,0.625467,0.02057
jsapar,0.71884,0.757147,0.709887,0.705533,0.519,5.03E-4,0.6278,0.02087
jxls,0.841733,0.896967,0.828467,0.878267,-1.0,0.006831,0.8298,0.06246
logisim,0.7326,0.944133,0.8912,0.921367,-1.0,0.008083,0.916667,0.08902
marvin,0.8212,0.8833,0.781933,0.839167,0.618867,0.0,0.784567,0.0098
nekohtml,0.746233,0.839567,0.794567,0.806033,0.7144,8.33E-4,0.666867,0.013
