Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.058835,0.033818,0.058936,0.123135,0.056884,0.01084,0.062406,0.051662
borg,0.055051,0.030986,0.040764,0.079085,-1.0,0.009596,0.040929,0.047391
datapro4j,0.043347,0.022344,0.061688,0.059988,0.022768,0.008465,0.029354,0.048598
ical4j,0.037465,0.014,0.022976,0.068878,0.008282,0.009736,0.009739,0.061764
java2html,0.107484,0.046228,0.059205,0.095161,-1.0,-1.0,0.068293,0.040824
jsapar,0.07068,0.044037,0.063233,0.087204,0.03714,0.010472,0.073988,0.049479
jxls,0.05175,0.026523,0.046908,0.061186,-1.0,0.010721,0.044558,0.04895
logisim,0.058587,0.017361,0.04151,0.082549,-1.0,0.007064,0.020178,0.050255
marvin,0.06928,0.041688,0.070333,0.101221,0.039999,0.017132,0.070162,0.04715
nekohtml,0.059541,0.019863,0.088913,0.105252,0.017325,0.010586,0.032202,0.045487
