Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.093534,0.046971,0.068731,0.088203,0.022855,0.001238,0.022208,0.056609
borg,0.065164,0.037469,0.052274,0.041488,-1.0,0.002324,0.01841,0.031575
datapro4j,0.071951,0.045556,0.037341,0.065536,0.025488,0.005419,0.052594,0.018906
ical4j,0.053117,0.036931,0.046409,0.071623,0.011597,0.001017,0.027288,0.024873
java2html,0.073336,0.041974,0.078556,0.045216,-1.0,0.003482,0.033961,0.036833
jsapar,0.050484,0.054458,0.062137,0.0,0.029747,0.002573,0.039467,0.037521
jxls,0.07063,0.033779,0.04489,0.098883,-1.0,7.91E-4,0.024964,0.02909
logisim,0.05469,0.03885,0.052028,0.059522,-1.0,0.001889,0.03242,0.032174
marvin,0.07504,0.054951,0.060534,0.081908,0.047825,0.0,0.054739,0.041619
nekohtml,0.090412,0.054145,0.069069,0.061844,0.017397,0.0,0.067632,0.039086
