Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.878633,0.936333,0.664633,0.741333,0.830067,7.0E-4,0.834533,0.06487
borg,0.913333,0.986667,0.877333,1.0,-1.0,0.0,0.942,0.06
datapro4j,0.54325,0.865857,0.545214,0.561,0.691214,0.0,0.741643,0.0565
ical4j,0.617769,0.818143,0.597643,0.645,0.808,0.003607,0.793857,0.0524
java2html,0.982,1.0,0.877786,0.955455,-1.0,0.0,0.995714,0.054
jsapar,0.213,0.839821,0.445636,-1.0,0.72525,0.003,0.47,0.06465
jxls,0.968571,1.0,0.844286,0.985385,-1.0,0.0,1.0,0.06
logisim,0.823636,0.994286,0.828571,0.92875,-1.0,0.0,0.97,0.0
marvin,0.825545,0.936857,0.631,0.815,0.747786,0.0,0.929357,0.0543
nekohtml,0.52925,0.919214,0.536857,0.627429,0.74,0.0,0.877857,0.0448
