Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.056723,0.050353,0.078349,0.011547,0.03502,0.001721,0.043475,0.053744
borg,0.068821,0.062343,0.064147,0.0,-1.0,0.003687,0.045444,0.021108
datapro4j,0.076763,0.0497,0.077813,0.150673,0.044655,0.004316,0.070004,0.025433
ical4j,0.076142,0.042052,0.081175,0.070783,0.035848,0.0,0.045237,0.037231
java2html,0.064134,0.056984,0.131014,0.0,-1.0,0.005045,0.066092,0.036766
jsapar,0.0,0.046847,0.068411,-1.0,0.04329,0.003772,0.068934,0.050749
jxls,0.026801,0.003194,0.048164,0.0,-1.0,0.001089,0.009013,0.025208
logisim,0.057536,0.05095,0.070321,0.01875,-1.0,0.002525,0.067761,0.023281
marvin,0.035075,0.024415,0.076798,0.033618,0.033322,0.001042,0.041223,0.065866
nekohtml,0.040851,0.052912,0.134749,0.014286,0.023839,0.003197,0.07644,0.044613
