Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.735762,0.968153,0.605077,0.65827,0.97192,0.0,0.96958,0.09846
borg,0.4804,0.797613,0.60889,0.649069,-1.0,0.0,0.771767,0.09456
datapro4j,0.946067,0.961933,0.846333,0.966133,0.968667,0.0,0.955667,0.0
ical4j,0.462673,0.794273,0.459897,0.480855,0.794267,0.001547,0.677633,0.06121
java2html,0.3785,0.790923,0.47821,0.5,-1.0,0.0,0.709267,0.02892
jsapar,0.389133,0.938313,0.504373,0.72,0.92414,0.0,0.836947,0.10431
jxls,0.336483,0.504607,0.310333,0.376857,-1.0,0.0,0.454533,0.16822
logisim,0.545,0.771333,0.577667,0.6138,-1.0,0.0,0.723467,0.0
marvin,0.972667,0.987667,0.8936,0.980143,0.960333,0.0,0.9838,0.0
nekohtml,0.778071,0.978767,0.845233,0.843,0.986933,0.0,0.974133,0.0
