Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.064345,0.050745,0.081754,0.04662,0.056496,0.0,0.062088,0.061626
borg,0.038048,0.014355,0.0145,0.036084,-1.0,0.0,0.016119,0.088836
datapro4j,0.04439,0.035675,0.055792,0.084507,0.041816,0.0,0.034604,0.002822
ical4j,0.057362,0.030348,0.0511,0.076794,0.023923,0.0,0.025231,0.034398
java2html,0.035258,0.034787,0.026251,0.0,-1.0,0.0,0.029618,0.018659
jsapar,0.070574,0.048467,0.081293,0.069282,0.054224,0.0,0.05169,0.065548
jxls,0.045469,0.015732,0.019961,0.019915,-1.0,0.0,0.011231,0.054571
logisim,0.044579,0.010367,0.020845,0.0,-1.0,0.0,0.01413,0.002811
marvin,0.064934,0.036215,0.056921,0.098485,0.034852,0.0,0.039567,0.0
nekohtml,0.062116,0.057633,0.099393,0.099145,0.063265,0.0,0.046819,0.0
