Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.26126,0.563767,0.461313,0.3379,0.2697,0.002807,0.383133,0.05496
borg,0.224,0.60124,0.35294,0.583867,-1.0,0.0,0.4526,0.01817
datapro4j,0.24363,0.609173,0.430307,0.462825,0.305273,0.0,0.43856,0.10682
ical4j,0.29052,0.631707,0.472953,0.495356,0.30602,0.009747,0.41682,0.09228
java2html,0.3501,0.669353,0.573347,0.529133,-1.0,0.01008,0.48552,0.04052
jsapar,-1.0,0.54548,0.365187,-1.0,0.30126,0.00272,0.33382,0.03003
jxls,0.063333,0.71936,0.599553,0.558429,-1.0,0.00148,0.607133,0.0629
logisim,0.111,0.59528,0.502787,0.535331,-1.0,0.0,0.4896,0.05931
marvin,0.246625,0.646733,0.423327,0.36628,0.415053,0.00178,0.504787,0.05173
nekohtml,0.14,0.609953,0.426613,0.3024,0.358287,7.6E-4,0.41614,0.03842
