Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.124158,0.071672,0.054085,0.113108,0.025018,0.011361,0.03359,0.059723
borg,0.132288,0.084168,0.071385,0.04087,-1.0,0.004572,0.031854,0.044822
datapro4j,0.077497,0.082676,0.03933,0.083178,0.018481,0.007592,0.026287,0.068398
ical4j,0.093312,0.067485,0.034286,0.07694,0.009441,0.0,0.010026,0.045213
java2html,0.196705,0.072489,0.0691,0.111271,-1.0,0.019765,0.073569,0.065682
jsapar,-1.0,0.074954,0.074888,-1.0,0.027229,0.001119,0.039927,0.05796
jxls,0.03849,0.065351,0.054658,0.045965,-1.0,0.005457,0.04056,0.05702
logisim,0.095427,0.082888,0.042715,0.0915,-1.0,0.007755,0.011388,0.053043
marvin,0.100661,0.069818,0.06714,0.024438,0.043603,0.009234,0.044099,0.070574
nekohtml,0.0,0.076081,0.059494,0.173205,0.020403,0.011262,0.042111,0.053873
