Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.097069,0.060801,0.062706,0.074517,0.036782,0.015496,0.035171,0.062602
borg,0.094953,0.046968,0.035631,0.03849,-1.0,0.00962,0.039512,0.044514
datapro4j,0.118299,0.051083,0.046227,0.083011,0.045544,0.002482,0.05623,0.074733
ical4j,0.066595,0.047195,0.032664,0.089955,0.012537,0.001935,0.015925,0.057292
java2html,0.015853,0.042354,0.053714,-1.0,-1.0,0.015137,0.048173,0.057332
jsapar,0.165309,0.060234,0.063908,0.085046,0.040001,0.003736,0.041515,0.066287
jxls,0.135112,0.04174,0.044416,0.009472,-1.0,0.00593,0.036267,0.043972
logisim,0.088347,0.027407,0.045064,0.02558,-1.0,0.007288,0.026292,0.042439
marvin,0.107589,0.087663,0.075956,0.08192,0.083763,0.0,0.087686,0.075076
nekohtml,0.117252,0.058934,0.059189,0.086004,0.043318,0.008129,0.04081,0.072609
