Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.63,0.905433,0.728338,-1.0,0.749571,0.003429,0.825333,0.08464
borg,-1.0,0.915905,0.759143,-1.0,-1.0,0.050286,0.740667,0.19498
datapro4j,0.81,0.984905,0.934762,0.5,0.729333,0.0,0.956476,0.2771
ical4j,0.662143,0.934095,0.849714,0.7125,0.827381,0.030486,0.745429,0.25153
java2html,-1.0,0.915429,0.820952,-1.0,-1.0,0.0,0.872286,0.07258
jsapar,0.18,0.876952,0.686295,-1.0,0.692381,0.002771,0.789519,0.06811
jxls,0.3,0.945857,0.888629,-1.0,-1.0,0.003505,0.891286,0.12558
logisim,0.6,0.917952,0.825524,-1.0,-1.0,0.0,0.435095,0.12496
marvin,0.61,0.9596,0.8365,-1.0,0.95735,0.0,0.9453,0.1154
nekohtml,0.675,0.9333,0.845775,0.45,0.61905,0.0039,0.7428,0.1256
