Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.115767,0.319707,0.181707,0.225327,0.160753,0.0,0.1999,0.04111
borg,0.11234,0.526133,0.223027,0.2695,-1.0,0.0,0.383827,0.0355
datapro4j,0.180733,0.404087,0.2674,0.404753,0.204507,0.0,0.322713,0.06768
ical4j,0.085436,0.279227,0.149727,0.178133,0.128893,0.0,0.176473,0.046444
java2html,0.058513,0.392873,0.201773,0.257573,-1.0,0.0,0.306027,0.01902
jsapar,0.04235,0.32226,0.127933,-1.0,0.150407,0.0,0.195333,0.01822
jxls,0.104957,0.393033,0.189893,0.250271,-1.0,0.0,0.3462,0.02949
logisim,0.08695,0.402073,0.242053,0.219546,-1.0,0.0,0.353347,0.03379
marvin,0.183333,0.430873,0.252393,0.419327,0.273027,0.0,0.415907,0.02633
nekohtml,0.124038,0.35882,0.198973,0.171957,0.18718,0.0,0.249893,0.01983
