Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.414233,0.774113,0.390573,0.577063,0.622067,0.0,0.622125,0.04343
borg,0.240267,0.672,0.278533,0.54825,-1.0,0.0,0.296867,0.11452
datapro4j,0.754733,0.930733,0.8118,0.8668,0.901733,0.0,0.840667,0.1111
ical4j,0.411538,0.616214,0.440571,0.476769,0.475929,0.0,0.361654,0.07795
java2html,0.234,0.678029,0.355,0.416,-1.0,0.0,0.546571,0.06675
jsapar,0.301267,0.710757,0.324386,0.301733,0.528971,0.0,0.490443,0.0536
jxls,0.337025,0.568864,0.268857,0.316111,-1.0,0.0,0.433929,0.06317
logisim,0.488,0.832857,0.557071,0.6436,-1.0,0.0,0.495786,0.12252
marvin,0.806357,0.908143,0.702071,0.836643,0.914714,0.0,0.881,0.0604
nekohtml,0.627643,0.848786,0.642821,0.714,0.752357,0.0,0.645571,0.0475
