Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.128051,0.057561,0.084862,0.070284,0.02335,0.0,0.019665,0.0486
borg,0.102804,0.034547,0.049707,0.123762,-1.0,0.003192,0.01376,0.044389
datapro4j,0.146646,0.084411,0.053936,0.081115,0.028976,0.00255,0.028354,0.061278
ical4j,0.110192,0.065294,0.044865,0.074375,0.022447,0.004217,0.022741,0.037936
java2html,0.137667,0.056164,0.106283,0.133938,-1.0,0.010348,0.075785,0.04733
jsapar,0.12639,0.075607,0.075114,0.066503,0.036972,0.0,0.035753,0.031455
jxls,0.136119,0.052658,0.049847,0.092188,-1.0,8.47E-4,0.028627,0.032212
logisim,0.156475,0.058806,0.084126,0.086407,-1.0,0.0,0.039339,0.044736
marvin,0.136384,0.087263,0.058618,0.079072,0.045559,0.0,0.047662,0.058109
nekohtml,0.146627,0.075407,0.059897,0.079783,0.022316,0.0,0.038293,0.044273
