Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.055246,0.045692,0.058987,0.05458,0.043127,0.004722,0.052971,0.036724
borg,0.022577,0.052742,0.037125,0.040106,-1.0,0.0,0.0261,0.017207
datapro4j,0.10389,0.083845,0.089296,0.08483,0.061093,0.001303,0.10693,0.032436
ical4j,0.096655,0.07118,0.096397,0.074025,0.060849,0.003503,0.077717,0.022772
java2html,0.079698,0.097098,0.071862,0.103454,-1.0,0.006535,0.084931,0.017119
jsapar,0.098208,0.047773,0.051894,0.06277,0.031665,0.001761,0.059369,0.039079
jxls,0.055927,0.061642,0.06583,0.065552,-1.0,0.001719,0.062424,0.022975
logisim,0.064952,0.042661,0.051047,0.052661,-1.0,0.001562,0.054392,0.027375
marvin,0.081953,0.045493,0.067807,0.065055,0.037208,0.0,0.058581,0.059152
nekohtml,0.098866,0.081047,0.110267,0.070725,0.079504,0.002043,0.093207,0.03707
