Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.062023,0.051592,0.105294,0.060628,0.047714,0.003242,0.061354,0.045918
borg,0.081975,0.064377,0.066383,0.02895,-1.0,0.004564,0.042091,0.019173
datapro4j,0.139192,0.0734,0.08045,0.104737,0.074246,6.95E-4,0.081942,0.066475
ical4j,0.139907,0.059683,0.067002,0.083402,0.041252,4.45E-4,0.057782,0.029815
java2html,0.07123,0.037897,0.079972,0.1276,-1.0,0.006609,0.029202,0.052739
jsapar,0.139689,0.060914,0.096262,0.080536,0.02525,0.001404,0.024321,0.054679
jxls,0.065686,0.036557,0.052609,0.02433,-1.0,0.003758,0.042952,0.02566
logisim,0.087174,0.039421,0.069489,0.060351,-1.0,0.002435,0.049359,0.031554
marvin,0.139655,0.064855,0.069119,0.078928,0.036726,0.0,0.041578,0.061594
nekohtml,0.128613,0.063093,0.090837,0.125942,0.037195,0.001092,0.086271,0.055721
