Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.3366,0.83152,0.510633,0.805927,0.763833,0.0,0.77478,0.08129
borg,0.36174,0.653733,0.494,0.525743,-1.0,0.0,0.5518,0.06073
datapro4j,0.768007,0.933587,0.79424,0.937913,0.93792,0.0,0.901427,0.06736
ical4j,0.179527,0.60332,0.26794,0.54112,0.3292,0.0063,0.31524,0.109111
java2html,0.427133,0.7128,0.432587,0.578213,-1.0,0.0,0.585727,0.04269
jsapar,0.32104,0.771467,0.42034,0.75274,0.49112,0.0,0.586647,0.07519
jxls,0.341133,0.560207,0.369847,0.471387,-1.0,0.0,0.376253,0.04551
logisim,0.365467,0.577327,0.406867,0.451227,-1.0,0.0,0.303,0.10353
marvin,0.838347,0.909853,0.76332,0.903227,0.906667,0.0,0.90292,0.08435
nekohtml,0.43856,0.85056,0.642367,0.816253,0.838567,0.0,0.740313,0.0831
