Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.122555,0.056653,0.071238,0.086633,0.045125,0.0,0.040089,0.094416
borg,0.073296,0.019369,0.012871,0.070026,-1.0,0.0,0.008078,0.074014
datapro4j,0.109529,0.051345,0.071401,0.095275,0.059587,0.003218,0.053517,0.091855
ical4j,0.10459,0.055608,0.055452,0.072593,0.022299,0.004082,0.019632,0.080959
java2html,0.080724,0.042635,0.052782,0.086734,-1.0,0.0,0.033746,0.089852
jsapar,0.114875,0.058501,0.06059,0.086478,0.028836,0.0,0.033717,0.078118
jxls,0.084013,0.028368,0.023147,0.091158,-1.0,0.0,0.010613,0.047307
logisim,0.125801,0.022947,0.059339,0.187317,-1.0,0.0,0.002423,0.084583
marvin,0.085682,0.059685,0.063957,0.101793,0.057675,0.0,0.060938,0.094309
nekohtml,0.12594,0.052778,0.060138,0.070816,0.0473,0.0,0.037694,0.089726
