Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.506017,0.851487,0.3853,0.55425,0.631367,0.018417,0.733793,0.11608
borg,0.458777,0.802497,0.731193,0.776704,-1.0,0.03,0.58811,0.14313
datapro4j,0.813413,0.943507,0.859373,0.914287,0.906163,0.007467,0.940923,0.25082
ical4j,0.555917,0.759323,0.61659,0.54641,0.63853,0.030487,0.66541,0.23127
java2html,0.0,0.79565,0.0,0.0,-1.0,0.0,0.527767,0.05066
jsapar,0.436867,0.809217,0.357533,0.431567,0.49165,0.00559,0.548137,0.12078
jxls,0.670153,0.869437,0.809883,0.839081,-1.0,8.0E-4,0.747167,0.10034
logisim,0.437123,0.864463,0.802997,0.8222,-1.0,0.0,0.832487,0.1231
marvin,0.6912,0.897417,0.746,0.872833,0.8591,0.00413,0.820483,0.15906
nekohtml,0.589267,0.843297,0.552383,0.677383,0.704067,0.025063,0.717563,0.14253
