Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.34104,0.598867,0.461327,0.567873,0.259307,0.002447,0.446767,0.04527
borg,0.399813,0.701147,0.569467,0.748493,-1.0,0.002607,0.537733,0.05073
datapro4j,0.315327,0.58908,0.41526,0.637013,0.32106,0.00456,0.511267,0.10924
ical4j,0.347167,0.626713,0.404953,0.655333,0.36628,0.00812,0.530533,0.10126
java2html,0.32116,0.676427,0.57096,0.688507,-1.0,0.001327,0.501253,0.02312
jsapar,0.36404,0.5156,0.33674,0.508553,0.287813,0.004347,0.307567,0.0241
jxls,0.383887,0.625893,0.507413,0.663727,-1.0,0.002187,0.552647,0.04474
logisim,0.235087,0.583727,0.492713,0.650767,-1.0,1.2E-4,0.53006,0.07554
marvin,0.287513,0.478667,0.333073,0.49662,0.289147,0.003613,0.373307,0.04827
nekohtml,0.35506,0.680973,0.4724,0.655493,0.416567,0.00548,0.472867,0.03833
