Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.125457,0.073098,0.068332,0.075716,0.036447,0.010184,0.039926,0.054606
borg,0.080589,0.066729,0.056212,0.083158,-1.0,0.008295,0.034286,0.049593
datapro4j,0.11632,0.087279,0.045481,0.072334,0.033701,0.001798,0.032092,0.072984
ical4j,0.094451,0.074365,0.050792,0.078573,0.018466,0.007584,0.03162,0.048023
java2html,0.170094,0.073847,0.085408,0.080375,-1.0,0.013382,0.072148,0.047895
jsapar,0.117839,0.070819,0.082245,0.076216,0.05033,0.022363,0.04444,0.05218
jxls,0.097561,0.073506,0.064016,0.065404,-1.0,0.009908,0.052325,0.056738
logisim,0.100884,0.077033,0.050108,0.067395,-1.0,0.002434,0.024556,0.067462
marvin,0.138106,0.080456,0.070664,0.07868,0.034245,0.018549,0.063667,0.072301
nekohtml,0.101686,0.071904,0.081545,0.078682,0.026526,0.013155,0.057438,0.061343
