Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.183447,0.610353,0.323613,0.57384,0.50708,0.0,0.449747,0.07541
borg,0.085073,0.65318,0.27504,0.535079,-1.0,0.0,0.56136,0.10012
datapro4j,0.437333,0.84488,0.724887,0.844287,0.794447,0.0,0.834927,0.10202
ical4j,0.113907,0.582493,0.298707,0.486929,0.34728,0.0,0.343933,0.16798
java2html,0.170067,0.5657,0.25774,0.45224,-1.0,0.0,0.398253,0.04883
jsapar,0.11724,0.547207,0.235593,0.493513,0.419193,0.0,0.3035,0.05931
jxls,0.314407,0.695713,0.3665,0.551154,-1.0,0.0,0.574033,0.07561
logisim,0.278567,0.696573,0.456327,0.567346,-1.0,0.0,0.631007,0.10435
marvin,0.387647,0.767973,0.577893,0.77374,0.771607,0.0,0.75572,0.08914
nekohtml,0.255233,0.703327,0.501733,0.676693,0.6,0.0,0.572373,0.07116
