Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.131214,0.064863,0.065291,0.08275,0.036442,0.014629,0.038467,0.062316
borg,0.085384,0.058515,0.032179,0.08048,-1.0,0.01258,0.02683,0.053364
datapro4j,0.129007,0.071166,0.049366,0.0804,0.044232,0.005977,0.035253,0.075697
ical4j,0.094077,0.066265,0.041738,0.077489,0.015131,0.005137,0.02177,0.069295
java2html,0.121179,0.058329,0.078165,0.082919,-1.0,0.02665,0.0509,0.059019
jsapar,0.133158,0.070616,0.072861,0.067846,0.053623,0.006821,0.045481,0.060877
jxls,0.127911,0.063676,0.05219,0.087005,-1.0,0.004962,0.04389,0.056469
logisim,0.107167,0.051891,0.078875,0.144536,-1.0,0.010697,0.02535,0.0696
marvin,0.154759,0.07093,0.069997,0.090534,0.061232,0.00443,0.065272,0.078498
nekohtml,0.128949,0.062181,0.062086,0.079821,0.037432,0.004628,0.030596,0.065355
