Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.127436,0.067618,0.069041,0.103482,0.036645,0.012146,0.038257,0.119161
borg,0.121349,0.056086,0.100479,0.154679,-1.0,0.00157,0.058763,0.129145
datapro4j,0.078485,0.048859,0.047289,0.092597,0.020281,0.0,0.047797,0.106076
ical4j,0.068834,0.049057,0.051856,0.102421,0.01712,0.001222,0.034181,0.057147
java2html,0.142229,0.058429,0.084733,0.106349,-1.0,0.019217,0.053953,0.145769
jsapar,0.126681,0.066305,0.072075,0.104923,0.034856,0.015401,0.038735,0.054942
jxls,0.142515,0.057687,0.096025,0.119672,-1.0,0.0,0.04362,0.062223
logisim,0.169154,0.046256,0.061209,0.09285,-1.0,0.001117,0.043085,0.082206
marvin,0.141346,0.063194,0.083624,0.092163,0.039218,0.009122,0.063615,0.027321
nekohtml,0.183859,0.058251,0.073615,0.116615,0.028558,0.002888,0.049821,0.062904
