Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.074937,0.367043,0.237053,0.366183,0.26148,0.0,0.351,0.00489
borg,0.032693,0.32534,0.067187,0.23605,-1.0,0.0,0.283433,0.0
datapro4j,0.27235,0.467613,0.316297,0.466287,0.303333,0.0,0.37476,0.00325
ical4j,0.0491,0.29486,0.12578,0.31662,0.178073,0.0,0.228627,0.00356
java2html,0.047617,0.28107,0.112107,0.241597,-1.0,2.4E-4,0.268897,0.0
jsapar,0.063237,0.349237,0.195883,0.324487,0.259553,0.0,0.306853,0.00372
jxls,0.050833,0.219467,0.08369,0.19455,-1.0,0.0,0.172417,0.0
logisim,0.0481,0.25808,0.112593,0.213097,-1.0,0.0,0.2262,0.0
marvin,0.184137,0.479857,0.301487,0.47257,0.399967,0.0,0.451033,0.00381
nekohtml,0.088747,0.37223,0.25983,0.370847,0.267967,0.0,0.320787,0.00309
