Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.16525,0.079328,0.069482,0.128442,0.032458,0.015564,0.033384,0.163484
borg,0.205564,0.068901,0.098848,0.211639,-1.0,0.0,0.03607,0.167941
datapro4j,0.126177,0.073902,0.06499,0.103451,0.03715,0.002582,0.028017,0.158715
ical4j,0.109575,0.066472,0.053181,0.107146,0.014226,0.00126,0.018933,0.07093
java2html,0.19542,0.069371,0.08226,0.141964,-1.0,0.031269,0.043944,0.175799
jsapar,0.103417,0.07271,0.072706,0.128252,0.035797,0.014567,0.025537,0.183663
jxls,0.149619,0.070715,0.077885,0.124518,-1.0,0.0,0.027669,0.0873
logisim,0.209703,0.076573,0.085572,0.142161,-1.0,0.0,0.025887,0.135552
marvin,0.177678,0.080828,0.088454,0.108006,0.051112,0.005443,0.04436,0.101866
nekohtml,0.189112,0.07938,0.070204,0.116741,0.033955,0.016287,0.032708,0.117479
