Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.3496,0.587267,0.297617,0.4576,0.486067,0.001317,0.5417,0.0052
borg,0.407717,0.583383,0.293067,0.484667,-1.0,1.0E-4,0.494267,0.0
datapro4j,0.5513,0.688667,0.415833,0.584067,0.5867,0.0,0.660467,0.0067
ical4j,0.371417,0.589957,0.34681,0.567267,0.456127,0.0,0.5703,0.01073
java2html,0.288233,0.468867,0.2523,0.335767,-1.0,0.0,0.382867,0.0
jsapar,0.333373,0.518053,0.266393,0.37214,0.409487,0.002923,0.44854,0.01764
jxls,0.44945,0.639733,0.3588,0.5157,-1.0,0.0,0.5763,4.0E-4
logisim,0.3661,0.539333,0.326467,0.4348,-1.0,0.0,0.511667,0.0
marvin,0.572633,0.663933,0.435,0.524433,0.565367,0.001,0.625267,0.0082
nekohtml,0.404217,0.571167,0.332883,0.435533,0.4595,1.0E-4,0.545767,0.0094
