Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.097562,0.053426,0.104513,0.107574,0.034083,0.03689,0.038881,0.216187
borg,0.079873,0.040909,0.082802,0.166241,-1.0,0.0,0.052611,0.120208
datapro4j,0.068467,0.039498,0.075834,0.089373,0.029572,0.0,0.040692,0.133383
ical4j,0.077091,0.036666,0.060068,0.095122,0.023846,0.0,0.029348,0.0598
java2html,0.118414,0.061886,0.090352,0.135495,-1.0,0.019531,0.092223,0.182291
jsapar,0.101956,0.052401,0.0812,0.092218,0.038138,0.017564,0.03789,0.074993
jxls,0.096717,0.048843,0.088584,0.158303,-1.0,0.0,0.056959,0.079477
logisim,0.106252,0.044724,0.077755,0.132154,-1.0,0.009134,0.046766,0.181193
marvin,0.090829,0.045275,0.101004,0.117519,0.055545,0.068915,0.065286,0.066926
nekohtml,0.0859,0.037776,0.096556,0.119949,0.025574,0.003434,0.039589,0.09096
