Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.84432,0.90202,0.635433,0.884,0.890347,0.0,0.897733,0.01668
borg,0.1697,0.403,0.128533,0.687036,-1.0,0.0,0.4022,0.0
datapro4j,0.956667,0.999333,0.97,0.986667,0.998667,0.0,1.0,0.006
ical4j,0.800013,0.853,0.5248,0.883286,0.914267,0.0,0.828533,0.03531
java2html,0.28272,0.46412,0.143,0.496514,-1.0,0.0,0.439113,0.0
jsapar,0.74074,0.864873,0.41856,0.82075,0.856853,0.0,0.836627,0.01897
jxls,0.2654,0.3578,0.1786,0.346,-1.0,0.0,0.324667,0.0
logisim,0.4402,0.469067,0.2562,0.639643,-1.0,0.0,0.5038,0.0
marvin,0.900267,0.983333,0.9034,0.962667,0.992,0.0,0.969333,0.0069
nekohtml,0.8878,0.9164,0.7824,0.904533,0.9388,0.0,0.93,0.0104
