Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.082521,0.049108,0.106516,0.072169,0.050962,0.015773,0.061671,0.142553
borg,0.130511,0.073286,0.18948,0.058884,-1.0,0.027007,0.095948,0.038622
datapro4j,0.028007,0.033076,0.03739,0.0,0.022267,0.002357,0.020347,0.026992
ical4j,0.053627,0.040231,0.097598,0.004124,0.020451,0.014966,0.034616,0.027968
java2html,0.129264,0.071283,0.151779,0.074808,-1.0,0.025938,0.087329,0.011339
jsapar,0.074844,0.060186,0.147741,0.202073,0.069919,0.011862,0.0761,0.124738
jxls,0.088391,0.06235,0.105803,0.023094,-1.0,0.013372,0.07745,0.008321
logisim,0.061619,0.052473,0.114601,0.0,-1.0,0.0,0.082274,0.186173
marvin,0.067212,0.060146,0.072851,0.0,0.042448,0.011659,0.040443,0.084367
nekohtml,0.090548,0.044432,0.104948,0.023094,0.024114,0.00569,0.047478,0.175192
