Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.0807,0.3662,0.246987,0.331073,0.241633,0.00114,0.325107,0.00651
borg,0.01964,0.35232,0.112233,0.3361,-1.0,0.0,0.393547,1.2E-4
datapro4j,0.170447,0.517953,0.37584,0.50048,0.239167,0.0,0.482587,0.01365
ical4j,0.10094,0.417387,0.28226,0.50176,0.22854,0.0,0.319187,0.01253
java2html,0.043093,0.352453,0.196707,0.220247,-1.0,2.7E-5,0.341187,0.00122
jsapar,0.09484,0.351947,0.198073,0.284747,0.21488,0.0013,0.258587,0.00567
jxls,0.09616,0.435053,0.273527,0.352287,-1.0,0.0,0.453873,5.3E-4
logisim,0.039973,0.37066,0.26596,0.280727,-1.0,0.0,0.337453,0.0
marvin,0.135007,0.50978,0.318113,0.417,0.305507,0.0016,0.46822,0.00606
nekohtml,0.12174,0.375953,0.26322,0.31626,0.23238,0.00118,0.30242,0.01027
