Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.128292,0.081182,0.07023,0.11484,0.03893,0.010355,0.027996,0.07366
borg,0.186424,0.08278,0.080503,0.158197,-1.0,0.008785,0.045775,0.084765
datapro4j,0.164126,0.081084,0.061409,0.112663,0.022816,0.001421,0.026843,0.079195
ical4j,0.113902,0.076837,0.046207,0.107783,0.013072,0.0,0.009378,0.061273
java2html,0.161787,0.085956,0.087763,0.143109,-1.0,0.023494,0.060247,0.097757
jsapar,0.162942,0.082644,0.085551,0.127052,0.032471,0.012661,0.024924,0.119567
jxls,0.19063,0.081809,0.080557,0.107292,-1.0,0.007864,0.043004,0.062127
logisim,0.146549,0.094345,0.06817,0.139801,-1.0,0.003172,0.022051,0.032815
marvin,0.183663,0.077978,0.085374,0.117762,0.046085,0.0,0.047076,0.071693
nekohtml,0.175876,0.08112,0.06862,0.169232,0.028516,0.02875,0.021131,0.059383
