Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.211707,0.73414,0.427927,0.73424,0.79962,0.0,0.800607,0.01056
borg,0.115213,0.383093,0.056273,0.62718,-1.0,0.0,0.437173,0.0
datapro4j,0.778027,0.964387,0.901067,0.887267,0.967533,0.0,0.9436,0.03034
ical4j,0.277893,0.822787,0.382307,0.857267,0.7858,0.0,0.793533,0.02085
java2html,0.20294,0.500567,0.19414,0.397057,-1.0,0.0,0.52826,0.00195
jsapar,0.186573,0.671927,0.3238,0.66038,0.628273,0.0,0.670353,0.00488
jxls,0.236793,0.605093,0.21782,0.525757,-1.0,0.0,0.5929,8.4E-4
logisim,0.231073,0.457233,0.229107,0.526844,-1.0,0.0,0.457667,7.0E-4
marvin,0.700987,0.885093,0.747907,0.85236,0.911567,0.0,0.89316,0.01267
nekohtml,0.410087,0.855393,0.632847,0.8035,0.869653,0.0,0.87868,0.01439
