Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.511533,0.835917,0.638683,0.5685,0.838725,0.0027,0.833425,0.02466
borg,0.463167,0.776658,0.545167,0.56,-1.0,0.0091,0.733083,0.00462
datapro4j,0.733,0.930833,0.906917,0.852167,0.938333,0.0,0.936583,0.0617
ical4j,0.534917,0.886942,0.753775,0.863333,0.927775,0.004625,0.911383,0.05551
java2html,0.7245,0.819333,0.625833,0.544,-1.0,0.005483,0.8035,0.0238
jsapar,0.525225,0.808725,0.5733,0.557408,0.822133,0.00295,0.753017,0.01934
jxls,0.70175,0.8615,0.75325,0.8176,-1.0,0.0085,0.863333,0.0054
logisim,0.426583,0.812917,0.593167,0.621429,-1.0,0.0,0.783917,0.0
marvin,0.775417,0.945833,0.86975,0.757667,0.96075,0.0,0.882917,0.0363
nekohtml,0.677208,0.925417,0.798458,0.524417,0.819583,0.001125,0.734583,0.0308
