Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.193395,0.066132,0.142507,0.009623,0.049082,0.020624,0.067908,0.094189
borg,0.123206,0.059931,0.145378,0.0,-1.0,0.0,0.055956,0.050946
datapro4j,0.107872,0.058342,0.061717,0.0,0.049493,0.0,0.049218,0.101619
ical4j,0.070907,0.044701,0.090573,0.0,0.038064,0.005089,0.03727,0.118774
java2html,0.098075,0.064583,0.148673,0.0,-1.0,0.007731,0.070415,0.060182
jsapar,0.10386,0.066814,0.106933,0.091414,0.061035,0.009665,0.079912,0.112668
jxls,0.084728,0.058683,0.109748,0.040415,-1.0,0.00453,0.068589,0.023636
logisim,0.124131,0.03648,0.110499,0.0,-1.0,0.003786,0.044663,0.056134
marvin,0.138038,0.093583,0.133827,0.024056,0.081734,0.004809,0.148379,0.089129
nekohtml,0.167784,0.028595,0.136103,0.004811,0.02252,0.005047,0.055383,0.135146
