Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.180727,0.086684,0.059179,0.08675,0.037348,0.014936,0.035374,0.049784
borg,0.170065,0.082066,0.086837,0.106996,-1.0,0.007134,0.042343,0.061172
datapro4j,0.099062,0.082846,0.040499,0.106114,0.017451,0.0,0.023738,0.108209
ical4j,0.096948,0.080288,0.045252,0.089933,0.009971,0.001096,0.014408,0.040586
java2html,0.169897,0.090244,0.103112,0.092279,-1.0,0.004271,0.057416,0.081819
jsapar,0.197286,0.084705,0.074506,0.093713,0.037532,0.003253,0.030256,0.079129
jxls,0.149756,0.086935,0.093572,0.093775,-1.0,0.007986,0.033524,0.046908
logisim,0.177759,0.082065,0.084535,0.09166,-1.0,0.007459,0.021663,0.080616
marvin,0.19867,0.089419,0.071653,0.097957,0.039494,0.003333,0.03607,0.03473
nekohtml,0.149282,0.084313,0.062016,0.103992,0.027678,0.048708,0.0347,0.099072
