Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.397736,0.796407,0.390936,0.759357,0.768929,0.0,0.779214,0.00161
borg,0.103671,0.478907,0.188714,0.5966,-1.0,0.0,0.427429,6.0E-5
datapro4j,0.912786,0.958714,0.908643,0.842143,0.965214,0.0,0.961357,2.0E-4
ical4j,0.507264,0.768471,0.459371,0.829929,0.727443,0.0,0.733257,0.00211
java2html,0.225,0.563964,0.162143,0.439923,-1.0,0.0,0.574786,0.00256
jsapar,0.325943,0.728243,0.348621,0.684186,0.668257,0.0,0.692414,9.2E-4
jxls,0.350107,0.737964,0.355429,0.781333,-1.0,0.0,0.753714,7.0E-4
logisim,0.273071,0.590571,0.307,0.7112,-1.0,0.0,0.552,2.0E-4
marvin,0.831929,0.887,0.752143,0.859714,0.897643,0.0,0.843929,0.0
nekohtml,0.751321,0.862429,0.685393,0.804679,0.887357,0.0,0.764571,0.0023
