Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.124231,0.090227,0.068158,0.08205,0.033073,0.003956,0.039939,0.069376
borg,0.144602,0.085456,0.092353,0.108983,-1.0,0.003871,0.087438,0.04922
datapro4j,0.144609,0.092874,0.05603,0.078919,0.025872,0.006106,0.032544,0.065824
ical4j,0.128134,0.075642,0.0537,0.078941,0.017426,0.004234,0.022957,0.041303
java2html,0.148031,0.09003,0.111091,0.116184,-1.0,0.028306,0.072009,0.082479
jsapar,0.159906,0.090114,0.070239,0.082257,0.033617,0.013067,0.051911,0.080015
jxls,0.143239,0.083861,0.081883,0.087286,-1.0,0.007381,0.066013,0.058678
logisim,0.193634,0.077115,0.069803,0.096978,-1.0,0.008016,0.030623,0.059281
marvin,0.139271,0.095574,0.077166,0.095269,0.057658,0.002676,0.058579,0.029778
nekohtml,0.220143,0.089281,0.0665,0.08787,0.03974,0.004872,0.044375,0.052707
