Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.11896,0.41414,0.272827,0.403127,0.21046,3.67E-4,0.2699,0.03002
borg,0.10516,0.560287,0.27628,0.475327,-1.0,0.002187,0.205467,0.02803
datapro4j,0.248767,0.457053,0.271567,0.444747,0.274053,2.8E-4,0.39496,0.03031
ical4j,0.209713,0.4958,0.30688,0.475773,0.342787,1.0E-4,0.397,0.02564
java2html,0.104867,0.421533,0.181413,0.32954,-1.0,0.002747,0.144733,0.0016
jsapar,0.04982,0.330567,0.172347,0.270253,0.21716,0.001087,0.238873,0.01489
jxls,0.19248,0.600847,0.38966,0.539753,-1.0,4.27E-4,0.443267,0.03996
logisim,0.163173,0.55506,0.445547,0.5575,-1.0,0.001973,0.417333,0.02176
marvin,0.159173,0.47804,0.264307,0.42458,0.290967,7.4E-4,0.415173,0.02188
nekohtml,0.151373,0.4092,0.232033,0.368493,0.240667,1.0E-4,0.29854,0.01262
