Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.160467,0.676927,0.287727,0.689187,0.632373,0.0,0.606893,0.02979
borg,0.0432,0.565407,0.09482,0.28908,-1.0,0.0,0.348747,0.00848
datapro4j,0.797387,0.854647,0.507907,0.856913,0.878293,0.0,0.823373,0.03746
ical4j,0.119033,0.570007,0.303547,0.615253,0.402663,2.0E-4,0.319163,0.05113
java2html,0.111273,0.512173,0.139353,0.334,-1.0,0.0,0.252307,0.0
jsapar,0.07374,0.570733,0.241,0.572053,0.569713,0.0,0.308607,0.025
jxls,0.212513,0.64744,0.247507,0.44172,-1.0,0.0,0.341013,0.0152
logisim,0.228613,0.551633,0.310707,0.3413,-1.0,0.0,0.397267,0.039
marvin,0.58346,0.801327,0.509273,0.788793,0.798853,0.0,0.709627,0.02988
nekohtml,0.44088,0.72694,0.435567,0.727627,0.715153,0.0,0.63496,0.02268
