Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.76842,0.856507,0.561247,0.583333,0.6697,1.2E-4,0.7358,0.05563
borg,0.579453,0.734533,0.541467,0.442667,-1.0,0.00444,0.549333,0.0229
datapro4j,0.886667,0.876733,0.788733,0.7692,0.864467,0.0,0.813467,0.0661
ical4j,0.774233,0.832467,0.6716,0.656,0.820067,6.0E-4,0.841333,0.07925
java2html,0.5892,0.737133,0.654,0.4956,-1.0,0.0,0.654333,0.0048
jsapar,0.523907,0.754227,0.502267,0.484107,0.467467,1.0E-4,0.3806,0.06629
jxls,0.801333,0.854933,0.797533,0.562667,-1.0,9.07E-4,0.740733,0.05366
logisim,0.864067,0.888333,0.7754,0.423333,-1.0,0.0,0.886,0.0164
marvin,0.8372,0.896133,0.752933,0.661933,0.745267,0.0,0.788333,0.0612
nekohtml,0.819133,0.846133,0.7328,0.638267,0.754467,0.0,0.782333,0.0381
