Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.117493,0.074057,0.067061,0.127602,0.036919,0.014691,0.055571,0.077593
borg,0.141543,0.070002,0.047108,0.288591,-1.0,0.009419,0.075609,0.046101
datapro4j,0.202494,0.050336,0.075341,0.122152,0.055656,0.00889,0.038764,0.083183
ical4j,0.126653,0.056684,0.037896,0.088338,0.026066,0.006402,0.019307,0.057693
java2html,0.147589,0.061546,0.068164,0.0,-1.0,0.026738,0.140147,0.058174
jsapar,0.123078,0.074573,0.081249,0.267123,0.042336,0.014416,0.068583,0.09098
jxls,0.136667,0.0531,0.046485,0.125755,-1.0,0.006844,0.069426,0.046568
logisim,0.153489,0.048524,0.05373,0.107046,-1.0,0.011983,0.038916,0.072356
marvin,0.198653,0.067133,0.105212,0.203403,0.073729,0.018355,0.061639,0.089813
nekohtml,0.169463,0.058614,0.082458,0.162649,0.025518,0.012427,0.050736,0.085158
