Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.131939,0.082707,0.088717,0.089518,0.045786,0.005904,0.099174,0.062896
borg,0.124309,0.074948,0.080797,0.082512,-1.0,0.004376,0.131471,0.065617
datapro4j,0.125413,0.084656,0.058105,0.089747,0.018315,0.001812,0.041886,0.080256
ical4j,0.094816,0.076991,0.049896,0.089506,0.013909,0.004462,0.023599,0.049802
java2html,0.173791,0.082615,0.112731,0.097674,-1.0,0.005323,0.109872,0.098252
jsapar,0.147391,0.085385,0.11928,0.123937,0.04586,0.01186,0.079394,0.060891
jxls,0.118292,0.088637,0.092418,0.090323,-1.0,0.006268,0.08318,0.074384
logisim,0.147305,0.074802,0.057632,0.071163,-1.0,0.0,0.032612,0.083778
marvin,0.133393,0.092172,0.10542,0.120754,0.034419,0.008032,0.05726,0.039755
nekohtml,0.122116,0.081321,0.093376,0.078975,0.072647,0.004911,0.047107,0.06799
