Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.051707,0.472787,0.19036,0.472547,0.306013,0.0,0.29422,0.01804
borg,0.01032,0.420173,0.055073,0.2719,-1.0,0.0,0.20106,0.00332
datapro4j,0.2326,0.79742,0.517853,0.800433,0.754973,0.0,0.78452,0.00873
ical4j,0.069233,0.51456,0.23694,0.458507,0.361373,0.0,0.352893,0.01357
java2html,0.024207,0.461607,0.132973,0.334627,-1.0,0.0,0.135893,0.00444
jsapar,0.020027,0.407687,0.11742,0.440153,0.1707,0.0,0.232747,0.00977
jxls,0.136093,0.63882,0.209993,0.536987,-1.0,0.0,0.35872,0.01391
logisim,0.247533,0.6894,0.400033,0.581513,-1.0,0.0,0.550333,0.01894
marvin,0.202227,0.677153,0.388087,0.707947,0.47698,0.0,0.592887,4.0E-5
nekohtml,0.16244,0.61602,0.38832,0.608233,0.366447,0.0,0.385947,4.9E-4
